,r,dataset_word
P_2_first,0.0114116993342993,baseset_withdroped_first
D_42_first,0.0064020570258108,baseset_withdroped_first
D_53_first,0.0054105880173888,baseset_withdroped_first
B_17_first,0.0049943889391281,baseset_withdroped_first
D_46_first,0.0041663488881383,baseset_withdroped_first
S_3_first,0.0019132083283396,baseset_withdroped_first
D_50_first,0.0017933604262227,baseset_withdroped_first
D_43_first,0.0014817558807186,baseset_withdroped_first
R_3_first,0.0007278036237647,baseset_withdroped_first
B_8_first,0.0007256245709989,baseset_withdroped_first
S_9_std_first,0.0007256245709989,baseset_withdroped_first
D_132_first,0.000697296885044,baseset_withdroped_first
B_5_first,0.0006580739352603,baseset_withdroped_first
B_3_first,0.0006471786714315,baseset_withdroped_first
S_7_first,0.0006406415131342,baseset_withdroped_first
D_56_cen_first,0.0006210300382423,baseset_withdroped_first
R_27_first,0.000614492879945,baseset_withdroped_first
D_49_first,0.0005621956135668,baseset_withdroped_first
D_52_first,0.0005578375080352,baseset_withdroped_first
D_76_first,0.0005534794025037,baseset_withdroped_first
D_112_first,0.0005382260331434,baseset_withdroped_first
P_3_first,0.0005338679276118,baseset_withdroped_first
D_111_first,0.0005142564527199,baseset_withdroped_first
S_9_first,0.0005033611888912,baseset_withdroped_first
D_48_first,0.0004924659250623,baseset_withdroped_first
D_77_first,0.000477212555702,baseset_withdroped_first
D_61_first,0.0004488848697471,baseset_withdroped_first
D_41_first,0.0004009457089003,baseset_withdroped_first
D_121_first,0.0003987666561345,baseset_withdroped_first
B_2_first,0.0003835132867742,baseset_withdroped_first
D_47_first,0.0003747970757111,baseset_withdroped_first
B_29_first,0.0003726180229454,baseset_withdroped_first
S_26_first,0.0003704389701796,baseset_withdroped_first
P_4_first,0.0003595437063508,baseset_withdroped_first
D_44_first,0.0003595437063508,baseset_withdroped_first
D_118_first,0.0003508274952878,baseset_withdroped_first
B_37_first,0.000320320756567,baseset_withdroped_first
D_62_first,0.0003137835982698,baseset_withdroped_first
P_2_last,0.0152925923101227,baseset_withdroped_last
D_42_last,0.0022204547683121,baseset_withdroped_last
D_46_last,0.0019872961223755,baseset_withdroped_last
B_4_last,0.0016037828356013,baseset_withdroped_last
B_37_last,0.0015079045139077,baseset_withdroped_last
D_39_last,0.0011832256518091,baseset_withdroped_last
D_50_last,0.001128749332665,baseset_withdroped_last
D_44_last,0.0010350500637372,baseset_withdroped_last
R_3_last,0.0010045433250165,baseset_withdroped_last
D_43_last,0.0009936480611877,baseset_withdroped_last
B_5_last,0.0009740365862958,baseset_withdroped_last
D_48_last,0.0007866380484402,baseset_withdroped_last
B_2_last,0.0007408779403592,baseset_withdroped_last
S_3_last,0.0007299826765304,baseset_withdroped_last
D_56_cen_last,0.0005709118246297,baseset_withdroped_last
B_3_last,0.0005447631914406,baseset_withdroped_last
D_41_last,0.0005295098220803,baseset_withdroped_last
R_1_last,0.0004532429752786,baseset_withdroped_last
D_47_last,0.000440168658684,baseset_withdroped_last
D_49_last,0.0004140200254948,baseset_withdroped_last
B_8_last,0.0004140200254948,baseset_withdroped_last
D_45_last,0.0004053038144318,baseset_withdroped_last
R_27_last,0.0003944085506029,baseset_withdroped_last
S_9_std_last,0.0003900504450714,baseset_withdroped_last
D_62_last,0.0003900504450714,baseset_withdroped_last
B_11_last,0.0003835132867741,baseset_withdroped_last
D_132_last,0.0003813342340084,baseset_withdroped_last
B_16_last,0.0003791551812426,baseset_withdroped_last
D_112_last,0.0003639018118823,baseset_withdroped_last
D_56_last,0.000357364653585,baseset_withdroped_last
B_20_last,0.0003508274952877,baseset_withdroped_last
D_142_last,0.000348648442522,baseset_withdroped_last
B_7_last,0.0003399322314589,baseset_withdroped_last
B_9_last,0.0003094254927382,baseset_withdroped_last
D_54_last,0.0003007092816752,baseset_withdroped_last
S_9_last,0.0002919930706121,baseset_withdroped_last
D_52_last,0.0002898140178463,baseset_withdroped_last
D_121_last,0.0002810978067833,baseset_withdroped_last
P_2_mean,0.0098798252399681,baseset_withdroped_mean
D_46_mean,0.0035671093775535,baseset_withdroped_mean
B_2_mean,0.0033317716788511,baseset_withdroped_mean
B_5_mean,0.0023206911955372,baseset_withdroped_mean
D_65_mean,0.0022749310874562,baseset_withdroped_mean
D_42_mean,0.0019371779087629,baseset_withdroped_mean
D_39_mean,0.0014882930390158,baseset_withdroped_mean
D_50_mean,0.0012812830262684,baseset_withdroped_mean
B_4_mean,0.0010720939607552,baseset_withdroped_mean
B_37_mean,0.001037229116503,baseset_withdroped_mean
R_2_mean,0.0009892899556562,baseset_withdroped_mean
B_17_mean,0.0009653203752328,baseset_withdroped_mean
D_44_mean,0.0009348136365121,baseset_withdroped_mean
B_22_mean,0.0009064859505572,baseset_withdroped_mean
R_1_mean,0.0008868744756653,baseset_withdroped_mean
S_3_mean,0.0008825163701338,baseset_withdroped_mean
B_16_mean,0.0008781582646023,baseset_withdroped_mean
R_3_mean,0.0006776854101521,baseset_withdroped_mean
P_3_mean,0.0006776854101521,baseset_withdroped_mean
D_132_mean,0.0006711482518548,baseset_withdroped_mean
B_7_mean,0.0006079557216477,baseset_withdroped_mean
S_25_mean,0.000568732771864,baseset_withdroped_mean
D_41_mean,0.0005600165608009,baseset_withdroped_mean
D_49_mean,0.000494644977828,baseset_withdroped_mean
D_47_mean,0.0004902868722965,baseset_withdroped_mean
D_54_mean,0.0004837497139992,baseset_withdroped_mean
D_51_mean,0.0004706753974047,baseset_withdroped_mean
D_43_mean,0.0004619591863416,baseset_withdroped_mean
S_9_std_mean,0.000440168658684,baseset_withdroped_mean
B_8_mean,0.0004292733948551,baseset_withdroped_mean
B_11_mean,0.0004053038144318,baseset_withdroped_mean
D_112_mean,0.0004053038144318,baseset_withdroped_mean
B_3_mean,0.0003944085506029,baseset_withdroped_mean
B_20_mean,0.0003726180229453,baseset_withdroped_mean
D_128_mean,0.0003726180229453,baseset_withdroped_mean
S_26_mean,0.0003530065480535,baseset_withdroped_mean
S_5_mean,0.0003530065480535,baseset_withdroped_mean
D_56_cen_mean,0.0003508274952877,baseset_withdroped_mean
B_3_std,0.0043384940566336,baseset_withdroped_std
B_5_std,0.0032402514626892,baseset_withdroped_std
D_39_std,0.0024775829946722,baseset_withdroped_std
D_44_std,0.002268393929159,baseset_withdroped_std
B_4_std,0.0019284616977,baseset_withdroped_std
R_1_std,0.0018042556900515,baseset_withdroped_std
D_50_std,0.0018020766372858,baseset_withdroped_std
D_42_std,0.0014316376671061,baseset_withdroped_std
B_17_std,0.0009108440560888,baseset_withdroped_std
D_65_std,0.0007975333122691,baseset_withdroped_std
B_2_std,0.000688580673981,baseset_withdroped_std
D_43_std,0.0006733273046207,baseset_withdroped_std
S_5_std_last,0.0006341043548369,baseset_withdroped_std
R_16_std,0.0006297462493054,baseset_withdroped_std
B_20_std,0.0006035976161163,baseset_withdroped_std
R_3_std,0.000597060457819,baseset_withdroped_std
R_10_std,0.0005534794025037,baseset_withdroped_std
D_59_Q50cen_std,0.0005491212969722,baseset_withdroped_std
D_127_std,0.0005251517165488,baseset_withdroped_std
S_23_std,0.0004924659250624,baseset_withdroped_std
S_26_std,0.0004859287667651,baseset_withdroped_std
D_60_std,0.0004532429752787,baseset_withdroped_std
D_62_std,0.0004249152893238,baseset_withdroped_std
B_10_std,0.0004249152893237,baseset_withdroped_std
S_25_std,0.0004161990782607,baseset_withdroped_std
D_45_std,0.0004140200254949,baseset_withdroped_std
B_6_std,0.0004118409727291,baseset_withdroped_std
B_23_std,0.0004053038144319,baseset_withdroped_std
B_12_std,0.0003878713923058,baseset_withdroped_std
D_55_cen_std,0.0003791551812427,baseset_withdroped_std
D_41_std,0.0003639018118824,baseset_withdroped_std
D_115_std,0.0003595437063508,baseset_withdroped_std
D_123_std,0.0003530065480536,baseset_withdroped_std
S_3_std,0.0003464693897563,baseset_withdroped_std
D_144_std,0.0003333950731617,baseset_withdroped_std
B_9_std,0.000294172123378,baseset_withdroped_std
D_56_cen_std,0.0002876349650807,baseset_withdroped_std
D_51_std,0.0002832768595492,baseset_withdroped_std
D_76_std_mean,0.0002723815957203,baseset_withdroped_std
B_26_std,0.0002593072791257,baseset_withdroped_std
D_70_std,0.0002331586459366,baseset_withdroped_std
D_112_std,0.0002331586459366,baseset_withdroped_std
B_8_lag1_prop,0.0034625148447969,single_lagset__lag1
D_44_lag1_prop,0.0034232918950132,single_lagset__lag1
D_48_lag1_prop,0.003305623045662,single_lagset__lag1
D_43_lag1_sub,0.0026388328993386,single_lagset__lag1
P_2_lag1_prop,0.0015296950415654,single_lagset__lag1
D_61_lag1_prop,0.001505725461142,single_lagset__lag1
D_43_lag1_prop,0.0014054890339169,single_lagset__lag1
B_9_lag1_prop,0.001257313445845,single_lagset__lag1
D_44_lag1_sub,0.0012224486015929,single_lagset__lag1
R_27_lag1_prop,0.0011374655437281,single_lagset__lag1
D_112_lag1_prop,0.0011156750160705,single_lagset__lag1
B_33_lag1_prop,0.0010764520662867,single_lagset__lag1
D_55_lag1_prop,0.001000185219485,single_lagset__lag1
B_11_lag1_prop,0.0009783946918274,single_lagset__lag1
B_17_lag1_prop,0.0009783946918274,single_lagset__lag1
B_4_lag1_prop,0.0009478879531067,single_lagset__lag1
B_4_lag1_sub,0.0008890535284311,single_lagset__lag1
D_39_lag1_sub,0.0008672630007735,single_lagset__lag1
B_17_lag1_sub,0.000862904895242,single_lagset__lag1
D_50_lag1_prop,0.0008454724731159,single_lagset__lag1
R_1_lag1_sub,0.0007931752067376,single_lagset__lag1
S_25_lag1_prop,0.0006820435156837,single_lagset__lag1
B_3_lag1_sub,0.0006711482518549,single_lagset__lag1
D_75_lag1_prop,0.0006646110935576,single_lagset__lag1
D_55_lag1_sub,0.0005883442467559,single_lagset__lag1
B_9_lag1_sub,0.0005839861412244,single_lagset__lag1
D_130_lag1_prop,0.0005578375080352,single_lagset__lag1
D_54_lag1_prop,0.0005469422442064,single_lagset__lag1
R_1_lag1_prop,0.0005469422442064,single_lagset__lag1
B_5_lag1_sub,0.0005011821361253,single_lagset__lag1
R_9_std_lag1_sub,0.0004946449778281,single_lagset__lag1
B_14_lag1_prop,0.0004597801335759,single_lagset__lag1
D_45_lag1_prop,0.0004510639225128,single_lagset__lag1
S_26_lag1_sub,0.0003965876033687,single_lagset__lag1
D_131_lag1_prop,0.0003900504450715,single_lagset__lag1
D_51_lag1_prop,0.0003878713923057,single_lagset__lag1
R_6_lag1_sub,0.0003878713923057,single_lagset__lag1
S_8_std_lag1_prop,0.0003813342340084,single_lagset__lag1
P_3_lag1_prop,0.0003726180229454,single_lagset__lag1
B_23_lag1_sub,0.000357364653585,single_lagset__lag1
D_52_lag1_prop,0.0003464693897562,single_lagset__lag1
B_16_lag1_prop,0.0003333950731616,single_lagset__lag1
B_22_lag1_prop,0.0003246788620986,single_lagset__lag1
D_47_lag1_prop,0.0003203207565671,single_lagset__lag1
B_37_lag1_prop,0.0003181417038013,single_lagset__lag1
S_23_lag1_sub,0.0003137835982698,single_lagset__lag1
D_76_std_lag1_sub,0.0003137835982698,single_lagset__lag1
B_1_lag1_prop,0.0002919930706121,single_lagset__lag1
R_9_std_lag1_prop,0.0002854559123149,single_lagset__lag1
D_56_cen_lag1_prop,0.0002810978067833,single_lagset__lag1
D_41_lag1_sub,0.0002702025429545,single_lagset__lag1
D_58_lag1_prop,0.0002527701208284,single_lagset__lag1
D_76_std_lag1_prop,0.0002440539097654,single_lagset__lag1
B_11_lag1_sub,0.0002375167514681,single_lagset__lag1
R_3_lag1_prop,0.000228800540405,single_lagset__lag1
D_56_lag1_sub,0.0002179052765762,single_lagset__lag1
D_105_lag1_sub,0.0002157262238104,single_lagset__lag1
D_79_lag1_prop,0.0002070100127474,single_lagset__lag1
B_28_lag1_prop,0.0002004728544501,single_lagset__lag1
D_55_cen_lag1_prop,0.0001961147489186,single_lagset__lag1
B_2_lag1_sub,0.0001939356961528,single_lagset__lag1
D_74_lag1_prop,0.0001873985378555,single_lagset__lag1
D_39_lag1_prop,0.0001852194850898,single_lagset__lag1
B_7_lag1_sub,0.000183040432324,single_lagset__lag1
D_55_cen_lag1_sub,0.0001808613795582,single_lagset__lag1
D_59_Q50cen_lag1_sub,0.0001808613795582,single_lagset__lag1
P_2_lag3_prop,0.0027673970125186,single_lagset__lag3
B_3_lag3_sub,0.0017127354738895,single_lagset__lag3
D_39_lag3_sub,0.001680049682403,single_lagset__lag3
D_44_lag3_sub,0.001422921456043,single_lagset__lag3
D_43_lag3_sub,0.0014098471394484,single_lagset__lag3
B_8_lag3_prop,0.001377161347962,single_lagset__lag3
B_4_lag3_sub,0.0012638506041424,single_lagset__lag3
R_27_lag3_prop,0.0011810465990434,single_lagset__lag3
B_17_lag3_prop,0.0010786311190525,single_lagset__lag3
D_41_lag3_sub,0.0010590196441606,single_lagset__lag3
S_26_lag3_sub,0.0010437662748003,single_lagset__lag3
R_1_lag3_sub,0.0009435298475752,single_lagset__lag3
D_55_cen_lag3_prop,0.0009326345837464,single_lagset__lag3
D_44_lag3_prop,0.0008454724731159,single_lagset__lag3
D_50_lag3_prop,0.0007888171012061,single_lagset__lag3
S_3_lag3_sub,0.0007103712016386,single_lagset__lag3
B_9_lag3_prop,0.0006776854101522,single_lagset__lag3
B_17_lag3_sub,0.0005774489829271,single_lagset__lag3
D_48_lag3_prop,0.0005709118246298,single_lagset__lag3
D_55_lag3_sub,0.0005491212969721,single_lagset__lag3
D_45_lag3_prop,0.0004859287667651,single_lagset__lag3
S_23_lag3_sub,0.0004837497139993,single_lagset__lag3
B_5_lag3_sub,0.000477212555702,single_lagset__lag3
D_144_lag3_sub,0.0004750335029362,single_lagset__lag3
B_9_lag3_sub,0.0004706753974047,single_lagset__lag3
B_14_lag3_prop,0.0004684963446389,single_lagset__lag3
P_2_lag3_sub,0.0004358105531525,single_lagset__lag3
R_6_lag3_sub,0.0004249152893237,single_lagset__lag3
D_61_lag3_prop,0.0004140200254949,single_lagset__lag3
D_43_lag3_prop,0.0003682599174138,single_lagset__lag3
B_21_lag3_sub,0.0003660808646481,single_lagset__lag3
B_20_lag3_sub,0.0003530065480535,single_lagset__lag3
D_51_lag3_prop,0.0003399322314589,single_lagset__lag3
S_8_std_lag3_prop,0.0003224998093328,single_lagset__lag3
B_4_lag3_prop,0.0002963511761437,single_lagset__lag3
D_55_cen_lag3_sub,0.0002963511761437,single_lagset__lag3
B_22_lag3_prop,0.0002898140178464,single_lagset__lag3
R_9_std_lag3_sub,0.0002876349650807,single_lagset__lag3
R_3_lag3_sub,0.000274560648486,single_lagset__lag3
P_3_lag3_prop,0.000265844437423,single_lagset__lag3
D_91_lag3_prop,0.0002396958042338,single_lagset__lag3
D_78_lag3_sub,0.0002179052765762,single_lagset__lag3
D_77_lag3_prop,0.0002157262238105,single_lagset__lag3
D_133_lag3_sub,0.0002048309599816,single_lagset__lag3
S_27_lag3_sub,0.0002026519072159,single_lagset__lag3
D_76_std_lag3_sub,0.0001961147489186,single_lagset__lag3
B_25_lag3_prop,0.0001939356961528,single_lagset__lag3
S_9_std_lag3_prop,0.0001873985378556,single_lagset__lag3
D_56_cen_lag3_prop,0.0001786823267925,single_lagset__lag3
B_33_lag3_prop,0.000174324221261,single_lagset__lag3
D_79_lag3_sub,0.0001677870629637,single_lagset__lag3
B_12_lag3_sub,0.0001656080101979,single_lagset__lag3
D_84_lag3_sub,0.0001525336936033,single_lagset__lag3
P_3_lag3_sub,0.0001525336936033,single_lagset__lag3
S_7_lag3_prop,0.0001459965353061,single_lagset__lag3
D_77_lag3_sub,0.000137280324243,single_lagset__lag3
D_47_lag3_prop,0.0001242060076484,single_lagset__lag3
D_91_lag3_sub,0.0001242060076484,single_lagset__lag3
D_131_lag3_prop,0.0001198479021169,single_lagset__lag3
D_119_lag3_sub,0.0001198479021169,single_lagset__lag3
R_12_lag3_prop,0.0001154897965854,single_lagset__lag3
S_25_lag3_prop,0.0001133107438196,single_lagset__lag3
R_7_cen_lag3_sub,0.0001133107438196,single_lagset__lag3
S_9_std_lag3_sub,0.0001111316910539,single_lagset__lag3
D_62_lag3_prop,0.0001067735855223,single_lagset__lag3
D_54_lag3_prop,0.0001067735855223,single_lagset__lag3
D_44_lag6_sub,0.0019720427530152,single_lagset__lag6
P_2_lag6_prop,0.0018783434840874,single_lagset__lag6
B_3_lag6_sub,0.001431637667106,single_lagset__lag6
D_39_lag6_sub,0.0013379383981782,single_lagset__lag6
D_45_lag6_prop,0.0011875837573406,single_lagset__lag6
B_4_lag6_sub,0.0011766884935118,single_lagset__lag6
R_27_lag6_prop,0.0009435298475752,single_lagset__lag6
B_17_lag6_prop,0.0009108440560887,single_lagset__lag6
D_43_lag6_sub,0.0008672630007735,single_lagset__lag6
D_41_lag6_sub,0.0008236819454582,single_lagset__lag6
S_26_lag6_sub,0.0006755063573864,single_lagset__lag6
S_3_lag6_sub,0.0006384624603684,single_lagset__lag6
R_1_lag6_sub,0.0006275671965396,single_lagset__lag6
D_133_lag6_sub,0.000614492879945,single_lagset__lag6
B_5_lag6_sub,0.000577448982927,single_lagset__lag6
B_17_lag6_sub,0.0005578375080352,single_lagset__lag6
D_144_lag6_sub,0.000531688874846,single_lagset__lag6
D_79_lag6_sub,0.0004990030833596,single_lagset__lag6
S_23_lag6_prop,0.0003639018118823,single_lagset__lag6
B_9_lag6_sub,0.0003617227591165,single_lagset__lag6
D_48_lag6_prop,0.000357364653585,single_lagset__lag6
R_3_lag6_sub,0.0003530065480534,single_lagset__lag6
D_44_lag6_prop,0.0003050673872067,single_lagset__lag6
D_59_Q50cen_lag6_sub,0.0003028883344409,single_lagset__lag6
S_25_lag6_sub,0.0002723815957202,single_lagset__lag6
D_50_lag6_prop,0.0002636653846572,single_lagset__lag6
S_23_lag6_sub,0.0002593072791257,single_lagset__lag6
